year,gkz_current,gkz,name,val,sex,type,variable
2021,10101,10101,Eisenstadt,34649.8,Zusammen,Nettobezüge,Median
2021,10201,10201,Rust,30668.36,Zusammen,Nettobezüge,Median
2021,10301,10301,Breitenbrunn am Neusiedler See,34524.97,Zusammen,Nettobezüge,Median
2021,10302,10302,Donnerskirchen,32465.5,Zusammen,Nettobezüge,Median
2021,10303,10303,Großhöflein,34893.38,Zusammen,Nettobezüge,Median
2021,10304,10304,Hornstein,32313.51,Zusammen,Nettobezüge,Median
2021,10305,10305,Klingenbach,32847.85,Zusammen,Nettobezüge,Median
2021,10306,10306,Leithaprodersdorf,32300.06,Zusammen,Nettobezüge,Median
2021,10307,10307,Mörbisch am See,31391.94,Zusammen,Nettobezüge,Median
2021,10308,10308,Müllendorf,35139.48,Zusammen,Nettobezüge,Median
2021,10309,10309,Neufeld an der Leitha,33854.99,Zusammen,Nettobezüge,Median
2021,10310,10310,Oggau am Neusiedler See,33195.46,Zusammen,Nettobezüge,Median
2021,10311,10311,Oslip,33491.78,Zusammen,Nettobezüge,Median
2021,10312,10312,Purbach am Neusiedler See,34189.24,Zusammen,Nettobezüge,Median
2021,10313,10313,Sankt Margarethen im Burgenland,32280.52,Zusammen,Nettobezüge,Median
2021,10314,10314,Schützen am Gebirge,33638.31,Zusammen,Nettobezüge,Median
2021,10315,10315,Siegendorf,32050.84,Zusammen,Nettobezüge,Median
2021,10316,10316,Steinbrunn,34511.67,Zusammen,Nettobezüge,Median
2021,10317,10317,Trausdorf an der Wulka,34826.2,Zusammen,Nettobezüge,Median
2021,10318,10318,Wimpassing an der Leitha,33726.56,Zusammen,Nettobezüge,Median
2021,10319,10319,Wulkaprodersdorf,33905.73,Zusammen,Nettobezüge,Median
2021,10320,10320,Loretto,35446.8,Zusammen,Nettobezüge,Median
2021,10321,10321,Stotzing,31235.56,Zusammen,Nettobezüge,Median
2021,10322,10322,Zillingtal,35037.25,Zusammen,Nettobezüge,Median
2021,10323,10323,Zagersdorf,34608.38,Zusammen,Nettobezüge,Median
2021,10401,10401,Bocksdorf,29431.28,Zusammen,Nettobezüge,Median
