gkz,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10101,33580.8677323623,34324.40209873402,34819.99773009548,34779.00267883391,34449.4292731161,36533.36751579384,36360.148646753914,35554.838307637605,35653.615440661124,35098.18197377511,35260.18447059775,35512.562519284504,37546.38630971635,37171.71840809134,37054.86278964397,37212.57007640641,37989.18724440001,37629.68280000001,36002.11
10201,28703.818164333505,28955.44834275068,29811.04713735376,29728.771369404876,28541.271218729646,30509.80479193427,30448.445152070224,30164.03311629943,30101.328767262898,29926.243863511918,29661.02595317374,30383.04434218796,32241.75162403652,32168.139760493432,32123.839360797476,32981.52252592081,33401.64349080001,33305.83896000001,32803.12
10301,32473.384396548347,32835.17874996437,33065.929396314474,33139.0683915565,32931.3409198626,34552.842911232234,35295.43833252365,34857.362875120016,33990.842349791455,33852.13841902538,33468.00981598607,34959.36510035908,36721.06003651684,36572.31142199595,36714.73039908514,37475.45187388705,38630.84274240001,37494.11742000001,37399.83
10302,32909.45127492231,33252.88291252214,34194.25431162555,33781.533042170224,33881.576723852355,35271.04614913939,34660.59304409067,34502.87950796438,33753.66440419771,33910.109204061715,33852.69552316414,34274.01992836415,34649.91852009765,35360.71094460749,35369.44830939461,35732.72509777153,36133.44921048001,35257.533,35298.85
10303,32187.18083785485,33278.91065067043,33779.171202248705,33728.01669040498,33175.26562388337,34437.91677148405,34302.218460746466,34213.72056812236,34019.743988835195,33584.28836523174,34313.76528785263,34268.61086547012,36106.373129830274,36694.22272086511,36472.873541816276,37148.30429549617,38239.89898896001,37894.210680000004,36615.25
10304,31456.289811670118,32455.97395008428,32486.736275069776,31580.312815272537,31286.704134463645,32963.1380145662,32792.89855115537,32509.850382795885,32450.942296273017,32421.440754384337,32482.935670803865,33000.37879763812,35104.271570515,34684.01064799084,33756.008334059145,34691.952266112974,34616.429363760006,35092.471860000005,34150.77
10305,29192.373186184992,30089.061856966113,30525.37184412294,31450.52012159055,32153.952422695515,33987.96533754287,32806.252880252345,31974.262546493283,31898.80346310293,32331.504885912713,33118.06849987972,32837.62395877316,33522.2446428714,34466.83929939965,35280.51429470219,35140.44296685313,35571.42709512001,35672.765100000004,35027.12
10306,31056.36943827311,32083.29073999924,31511.93782079961,32232.949528523797,32007.36213587015,33513.42676572738,33823.49450316794,33165.46279582863,32536.97743340016,32395.905856337773,33249.87059209747,33453.68966004056,35876.28884082778,34932.89627986793,34995.39689927867,35398.08342972721,35395.11277968001,35077.86516000001,34333.84
10307,29577.2412613668,30151.229461259492,30206.739102446023,29973.42360370235,30355.81200578994,31675.344100640305,31174.431397243134,30917.243950647393,30997.78507196149,30672.57900345712,31184.66252489831,31700.41678050812,33497.60643031388,33648.7490864633,32980.24864388349,33613.29013223377,33218.55257880001,34091.64684,33464.21
10308,33208.23339756257,33804.84389330991,33989.08070009622,33721.84281349858,34488.30828082847,35795.45370253815,35732.53528228637,34866.744850120485,33953.006098240534,34588.425619952744,35601.64679084648,35806.66824034619,38641.36878494786,38539.95650414797,38167.04354134155,38519.31516849937,38172.47910984001,38161.475280000006,37064
10309,31390.803319036637,31922.713078461617,31859.433479397514,32310.76580770094,31950.973884895768,33351.464954466755,34551.69978600861,32864.463156503254,32889.066880447645,33599.837272096585,33108.005783531466,34483.19853246915,35619.79535555794,35356.655829301904,35335.59823093417,36543.46786635169,36844.545286080014,36766.519140000004,36182.41
10310,30094.866408954622,30627.86241610007,30732.018200787796,30959.76048292384,31438.72926849387,33219.10306043653,33626.080356917526,33212.54089934822,33121.85966261848,33365.30276456554,33485.08963235443,33501.26043638537,34849.58496727342,35161.02581577335,35490.50887513098,36147.005618855044,36784.02480840001,36050.26956,34916.07
10311,29597.016143185378,30697.562822988177,31203.325521515468,31846.53829908046,31653.64530443629,34200.722404832995,34012.045866444074,31885.48965200609,32044.47429530983,31839.775352399793,33510.50225499665,33050.400555606786,35323.466702923346,36518.645604122285,34788.72298167237,36433.88661583009,37274.37353016,36372.07308,35111.34
10312,30673.120534612463,31486.938982831307,32069.24190650044,32181.524100745148,31531.012152644955,33922.96266611009,33762.67148275628,32982.326643819484,33415.652974594355,34146.19240749563,34117.298669755255,34857.01548841114,36646.76248344754,36181.37955455895,36381.779372761805,36608.67323856289,37023.896231280014,37129.51464,36228.85
10313,30302.795018463272,30964.94800458478,31249.832502707297,30782.766593030738,30870.000572577457,32191.401562339932,32094.35618750007,31976.11306018303,31526.228857817616,31942.447695976636,32240.97972722899,32280.152414257365,34205.32981229659,34510.5314088194,34388.96803268472,34977.05596388017,34817.706562080006,35056.644720000004,34906.73
10314,31768.16023743974,33243.72337629315,33635.1742685554,34116.54709956447,33652.32747626386,36036.8299258803,35774.50985021881,34837.68013860179,35268.46666360121,34307.87625975555,34003.83118783308,34925.920671304484,36353.30569628833,37761.22200565141,37385.59621069139,37977.193628599685,37113.77823936001,36531.20466,35964.42
10315,30247.293416876928,30498.368556709138,30369.86728422352,32024.492883778217,31889.520411085618,33357.703685295804,33105.86306849113,32578.953481420027,31844.4754586215,32244.034541318466,32353.80153848959,32170.751702465426,34315.106870092975,34650.608686658685,33832.62487281484,34525.53140207185,35206.86406272001,34807.21224000001,34062.88
10316,32004.889110764532,32773.24562979845,33202.4037788743,32984.820363950115,32922.63421250167,34993.19105863526,34701.043694588625,34658.19325135145,34539.55645878976,34740.06153319482,33970.414685480435,34388.87799825453,36241.72175646369,36416.529362337344,37044.6480171554,37770.56278502833,37731.02905848001,37479.67362,36987.67
10317,32795.764444876586,33227.646558304026,34221.586728699796,34667.02522263238,34609.09331077432,36165.55483054076,34489.09886192338,34494.09280310187,33896.47919336837,34086.536641316976,34388.492530080526,34895.216995100214,36281.23383896245,37344.79916772408,36945.131544125536,37989.24983023249,38587.280502240006,37821.2532,37755.34
10318,31759.82450257156,32825.79938486589,32884.11756546457,33112.50800578072,32475.936317552874,34904.81357911811,34695.70998356791,33783.58613082501,33651.42817338711,33523.82727718359,33281.69119149415,32737.797771255697,35172.83735873969,35200.52217005032,35028.33925329976,35501.84600640913,36648.21377520001,36627.044160000005,36212.51
10319,31486.85917029642,33212.082674343736,33637.75879188149,33987.008707448425,33959.9918492666,35251.10400517929,34562.13995720455,33863.76643027729,33313.15135925384,34285.488311783614,33996.070957428914,34867.67665478486,36576.090660540904,35339.19304951772,35504.59583921534,36064.43478814177,36768.07133808001,36821.622780000005,35872.5
10320,33098.02478782156,35061.20984825174,34592.5596773995,34331.85575872562,34001.0201542363,34890.71513717911,35520.563714227545,33286.26381186915,32665.891128146624,33104.73777629901,33234.228306636,34676.3069073064,36161.88389624813,35706.8138639408,36331.70515622051,38864.11121482033,39061.56411288001,38495.22480000001,37033.55
10321,29478.86159912758,29085.70427555586,29158.707674377358,29022.095573391714,28989.694027400885,30330.87036361472,29666.6888758737,29613.304713444344,30814.97304292488,30966.310863179573,30941.500517257486,31401.30043198879,33388.75076269084,33779.954334573304,33679.184972013456,33352.55920640593,34323.67369392001,33921.81816000001,33478.47
10322,31554.264681029046,32539.80202565198,33892.31268148472,33590.43954323232,33369.0309320386,33394.94536670762,33406.91696798365,33454.68643894652,34976.8596146575,33864.589934084484,34202.90485350737,35863.572064943415,36362.67515740176,36473.93385588292,35366.035725109905,37698.70103107057,37844.88034632001,38050.4535,37388.68
10323,29985.782223881084,30911.119242074263,31581.25791291448,32654.70867563257,32408.363506965467,34826.62511850954,34665.83318123383,34510.90271417168,34179.70767358187,35008.75407755963,35355.36607208561,34780.47966322086,35762.15612039373,36207.66748412668,36358.54622318711,37938.54586111201,38295.89801424001,37584.70068,36572.38
10401,29360.15233890049,29338.067817736926,29584.302141192147,29266.225076692543,28699.730554740443,29701.902771255776,29661.929975815117,28530.84478952822,29046.94339254699,28662.012424078865,29254.436173363498,28491.46607102361,30533.984852995884,30323.671735745258,30652.291652572698,31052.29253675329,32818.30914672001,31962.370080000004,31820.76
10402,27688.74754385673,27495.579475687693,28242.97785098449,28202.199069076887,27559.261408789047,29225.307325302332,29136.392344064803,28966.77664034309,28358.889767984074,28724.406284613793,29095.69865033945,29349.176827561292,31469.148014522518,31252.937739978745,30162.442180432165,32214.080199824653,32573.581349040007,32568.586140000007,31467.49
10403,29814.060088664988,31520.16245264109,30830.95202106922,31082.517499948197,31662.22880367419,32907.97019828315,32641.54948805629,33257.27674428149,32771.286698599084,32918.237620891465,33087.81943850838,33091.48770075941,34488.78293471656,35795.88576082655,36162.79946940155,34692.880537036814,34805.21395656001,35538.80700000001,34240.52
10404,29536.50710374657,29904.15646720429,29452.130484616548,29823.173761827104,29880.926830249682,31023.900731277165,31674.82439132436,30843.158699781623,30829.746115090224,31215.031425180932,31155.16877637634,31119.654873665135,32707.424610869322,32907.23726487584,32205.936716737713,33565.416257393284,34160.67812592001,33517.4895,32180.84
10405,30139.97832661354,30458.330391944986,31214.775393010383,30807.490356385853,30515.571871988297,32739.75603451044,32901.684867663076,31778.276323897288,31249.824551230544,31598.277908089425,31492.70834279439,31680.73648471065,33349.23868019207,32768.71874523206,32487.43470458654,33611.84112396241,34594.2463368,33944.55900000001,33099.17
10406,29098.581176589054,29924.908312484684,30231.328170738387,30211.32271863769,30089.723529414838,31682.195807205833,31509.719968224494,31004.26985668622,31106.6180039443,31334.157114029902,32022.840503340383,31764.963321203377,33136.4214823603,32804.11310425771,32901.368539120755,33558.86175904081,34397.11101216001,34583.13786,34266.57
10407,29267.27486136743,29171.87719239818,28907.922279679762,29262.509448256886,28955.893932315732,30604.20305535194,31473.734128455664,30321.896168755597,29379.697680986294,30831.239801314627,30533.75340324254,31201.08058830203,33614.41955852494,33275.268278824056,34495.48202702566,34621.301792507045,34903.17875856001,34907.091660000006,34691.68
10408,28719.949910229483,29304.65382957358,29281.62413848356,29364.314841820877,29103.949026826034,30528.262172443785,30724.6886063135,30145.35975088471,29985.64638693654,30310.27088915546,30182.83748991118,31475.48186596404,33071.158339432295,32727.487832963096,33154.543226424765,33386.939191719364,33970.15193664001,33991.98462,33161.69
10409,27379.11097509315,28172.271357027326,28147.206101141146,28343.67550692726,28333.93932724943,30001.334607683944,30316.532720109295,29380.13998853615,30141.591391658767,30583.646689930556,31208.23559527832,31135.04897007113,32643.142688645406,32668.39566137126,32384.160941788658,34031.430901915206,34227.01508928001,33010.284060000005,32853.16
10410,28924.82008464261,28803.766422798646,29015.880273585797,28018.73461711713,27567.557422406546,28845.20788195361,29104.069253217465,28806.636032576473,30326.324299197626,29557.084318535955,29407.874323976528,29163.73531642427,29980.648172527115,29916.49596711304,29978.231570154505,30833.243239481286,31384.617993120006,32136.835980000003,32211.11
10411,29186.031431060463,29344.867857433324,30281.08385443508,29924.654214501283,29610.115375825008,30812.056316750237,31734.778511444427,31153.786186555753,30779.664263087452,30723.450566474683,31533.190675028385,31646.38652057335,33856.75714022239,33713.314491719044,33573.64764320855,34667.61345530497,35114.97252024001,34566.17454000001,32527.74
10412,28225.802749698447,28835.582987843656,29678.47119779977,29967.362749714153,30772.939951211018,31925.778743199306,31320.54032319905,30221.76137902645,29259.47848893422,29657.179632130425,29661.48888685562,30726.664721571993,32141.918400448634,32242.33899459655,31278.161908424998,31829.06285359633,34978.033914960004,33113.3346,32263.59
10413,30511.308328799,31468.57594459943,31811.049470091762,31443.48444493293,31149.997877063746,33105.75703592016,32947.348919910604,32079.224200601977,32626.032899224916,32562.235796306304,32244.476094773727,31887.85046882708,34634.08736166462,34433.531097958956,33263.02204202054,34401.77703939601,35762.07608928001,33794.33262,33214.12
10414,29601.813688433256,29737.321010515014,30248.495758641857,29738.39244531621,30397.96287365839,31288.81522290008,31404.623136031867,30312.70830358272,30167.56116351486,31216.679237621585,31593.810622424207,31986.83149026736,32744.483641607872,32679.154608916146,32627.247248614636,33387.62973472369,34109.993202720005,33159.94572,32139.32
10415,31248.526117779365,31250.85743225089,31798.2712402393,32325.96739019814,32743.02414870368,34366.19861031609,33738.034817565356,33300.14913486984,33705.97101296419,33447.557101358914,34824.17403705742,35383.20381426973,36697.69023121094,35809.656744884545,36742.502170856664,37722.99456037008,39003.30994344001,37292.718720000004,35665.26
10416,28332.98290900173,29500.594628584084,29010.581278833422,29799.424821141416,30451.50364801158,30769.597530736835,30075.192322194547,29385.04449684674,30224.31554084124,31253.33996703439,30273.328842253664,31723.682995233103,33432.235592430545,33346.51407634622,32883.282991430075,34173.58087741105,34588.35170256001,34088.595180000004,33023.54
10417,26563.48330596784,27380.08138765465,27530.44354026244,27704.573288129835,27965.13634563985,29387.064811317457,29820.978832267407,29051.80968548527,29021.61812597783,29549.985096517186,29832.530699845458,30374.411574399503,31183.88801007429,32199.865763765767,32422.986269391462,32889.08032635889,33274.77488568001,32806.93056,32182.410000000003
10418,26139.17041345117,27150.770566254698,28944.59652129021,28662.86635577423,28929.41787565527,30635.846225037254,30715.69214637129,29895.980385044666,30733.424168089183,32457.17226625542,30459.96421084372,31819.222983359097,33880.414132075835,31797.76474925875,31070.178109982142,32422.307216569923,33911.830782720004,33484.54026,30715.72
10419,30592.341866501385,31931.359680661782,32206.26495881664,31077.516235818075,32448.994807983177,33722.192679888874,33742.25900975219,32532.63887655564,32608.782904780353,33319.11445795826,33090.1462893831,31820.78050370135,33316.67890536496,31945.61237810267,32701.2095551489,32955.66678457873,34167.46588656001,34134.89136,32771
10420,27979.044008339817,27730.429984598937,28889.88837110833,29557.55577620448,29492.328410206275,31205.368792640824,32894.41284060726,33173.52482400144,31312.796508972104,36796.172161684764,33836.79740593111,34849.54180552854,36339.652369174124,35409.30200835595,36549.05345362645,37357.41430165681,37794.80944752001,39692.137980000014,39130.94
10421,27452.03366286084,27969.50120780449,27511.268976144846,29376.337654743853,28346.67083329608,29005.453361152086,29699.359526837674,30141.037572056906,29369.031750355367,30068.042460378947,29120.039216034158,30395.1181432907,31838.840863946905,32097.304162496395,30008.33584902972,32016.14340588145,31696.095825120006,31720.93056,32018.24
10422,26811.711295558627,26680.966961626455,29562.210964159087,29039.48697492894,30945.718809076436,31924.443818262087,30820.521624628047,30032.28430598251,28840.03192072227,28889.42293045669,31481.32992019236,31295.328679710026,32393.469883879596,32153.032697982148,30034.970092706346,30984.902331757927,33467.84648520001,33364.982520000005,30319.02
10423,26056.847535463425,27985.255610118344,27638.83469450245,26373.72842638574,27619.031038251083,29995.572635761047,34686.48627278021,31372.547962256336,29424.81305107206,26021.77086972699,26309.97085468795,26885.312457928077,28341.72241015256,29112.65725767841,30822.116554013806,31920.73526751409,32168.336409120006,30675.612119999998,25802.32
10424,31729.510013536557,29774.57467626556,30815.27161697908,29579.340943686537,30547.304808564808,31430.153806048962,31535.746873881966,29049.325079692044,29114.54062352424,30532.750347778547,31445.342917658745,32569.549352888982,34171.84864729612,33918.027494732654,34466.57272715923,33924.67974567361,32717.932903440007,32871.34122,31421.36
10425,27972.927138148774,29509.51968068561,29374.392643344636,27600.43679687807,28556.918650354724,29966.435855753778,28757.67212620048,28909.59188513334,28900.261571654697,29758.99709556889,29816.108736603983,30522.074161886034,32102.418284056017,32337.95064391155,31445.022342709686,31485.94222308912,32618.952170160006,31851.511200000004,31931.33
10426,27391.809477671115,28059.557768007897,28447.212948456854,30216.069681201872,26393.726254696336,28156.05969395553,31515.668593297727,29623.04902678966,30809.690627043692,29829.667187008774,31416.105000908352,28235.513561446587,29488.290768985575,28835.8546181195,28768.59108814411,31999.638296040488,32069.232870960004,33586.005240000006,33777.64
10427,27578.77881137811,27900.401666493013,27572.17131910267,27883.573334820892,28602.94372920296,30234.088305666304,31085.6565228357,30524.97387038642,31070.33614749717,30554.506427822103,30955.351980317984,31020.09430977193,33224.46809139298,32806.92590100147,33829.13185725069,33351.11019813457,34389.44128920001,34292.263620000005,32946.04
10428,29549.280567969032,29710.72171730604,30354.33126691138,29931.011753649742,30476.06313386932,31039.374963202485,31471.782444723773,31184.494361281428,31427.31625231026,32620.714553598773,32138.11099012884,32469.48168934946,33433.75528791127,32668.03234179185,34138.780792902675,34486.713828927364,36328.26240648001,35720.58168,34057.53
10501,29074.518488705184,29866.62435155239,29738.449465378435,29765.12236546929,29346.764857739512,30338.389532648853,30411.884501339257,29552.871853786153,29231.3856408388,29802.224295609874,30436.91498647216,30326.74420764588,31762.82019159238,31892.3450397677,31987.060225022444,32157.104741779687,33392.67873456001,32754.683100000002,31791.73
10502,29472.729736607642,29357.456724026448,29201.648302152735,27495.749318900114,28630.843524174015,29864.504801618943,28741.283329931313,27680.643744658177,28661.756703411374,28235.62546809994,28851.379308493924,29349.623558202093,30824.80909680266,31201.358079690035,32347.369376537343,32085.62788064401,32124.372262080007,31771.549020000006,30765.54
10503,29460.825827461347,30073.19021258852,29984.87437938061,29914.453896134208,28391.45014112255,29154.74700719215,30325.56928314188,29545.46979902716,30212.70180831776,30045.171319285324,29761.945495823875,30052.499889398197,31889.85237445334,32242.04599493574,31787.30339744778,32623.11938630161,32878.72914768001,32739.880920000007,31033.37
10504,28024.71064216802,28177.18086844606,28405.095325316033,28445.692818462867,28329.750251066333,29366.509691620882,29395.404837140908,28929.546375410202,29306.40100129513,29240.952121274353,29081.177151686752,29545.774530917228,30689.72372450449,30762.069548233212,30988.322047880214,32147.82203254129,32451.368165280004,32015.37774,31062.410000000003
10505,28386.745400435724,29568.814854417582,29307.98916414524,29655.956354357855,28902.955508786246,29868.618549894858,29736.989593312137,27988.243118121816,28836.607196550496,28596.768963082635,28632.728421062187,28982.56793087763,30149.322404781076,29529.970814574594,30018.95277791549,30797.61801268465,31280.47945488001,31394.5767,30599.63
10506,27791.624904765828,28526.371700011,28991.406714715835,29404.353210591395,28937.54961177539,29677.969474167057,30408.729724895922,30482.47675879809,29557.138832631736,29873.17934709589,29137.192127194394,29822.01102634686,31218.314497460407,31326.222815140136,30824.196277096406,32080.46578867729,33036.555746640006,31867.421100000003,31387.16
10507,26836.028853033793,27731.11878172335,27885.620575449608,28945.847487204526,28854.13771248262,30372.77066062377,29769.005227133224,29645.09990320455,29983.750783151423,29701.3732184148,29488.7293462567,30095.95349956697,31867.39199321464,32022.27280935658,32600.42916201359,32882.016411036006,33443.229688800006,32218.144800000005,32492.49
10508,29724.15109225405,30082.071298916144,30577.74092850133,30506.920033311486,30056.087711827055,31080.621419425963,31290.422902322684,29878.588144492074,29884.09257348858,29980.8446862636,30027.328320195,30487.5913859366,32520.81318550038,31651.88607813546,31917.257364653386,32252.026103930886,33519.781785360006,32911.8816,32005.539999999997
10509,27264.95938285154,27370.57012523447,27943.15870648018,28407.75950154373,28267.009936860075,29580.288385138472,30136.937713684976,29890.105327596102,29846.83764043176,29665.740823081505,30146.935764634753,30065.913882423345,31316.436567869212,30747.829764717928,31213.610061584932,32422.318536947045,33140.20306536001,32794.767360000005,31983.58
10510,28221.78480555335,27386.866772093086,27746.301773363306,28729.436854590982,28459.378886287606,30168.73147047467,29730.038390979378,28712.324537675213,29112.645019739117,28585.717469119736,28395.292172118323,29345.45809682164,30062.651897955348,31134.90575661869,30799.22810992242,31672.909571603046,32563.712302320004,31850.544660000003,30787.48
10511,29138.925533657894,28350.68446751004,28893.59911130277,29627.05074302953,29140.035317083006,31620.29887950455,30856.373787428944,29069.305451279248,28875.11322810549,30616.590549176464,29515.810966646754,29520.28673678934,31572.439442787003,32045.466662506173,32769.265907735884,32729.666775755046,33891.34469592001,33414.12402,32628.06
10512,24706.458486818043,25727.6131203975,26366.830496409657,27558.731340064183,27275.513101446,28421.151267457873,27474.640587934337,27819.069933044397,28069.582718299636,27484.569903042782,28990.929448650517,29856.517949898494,30340.492916592182,30677.02932668019,30644.00723079063,29842.05365960833,30872.96820672001,31661.743560000003,30745.42
10601,33202.40138162062,33963.7801659553,34133.929515779695,33553.000701580284,33783.14712334111,34885.86581801942,35124.46549053132,34631.27668859148,33556.344687525685,33743.45713534539,34310.37856249571,34644.407924792955,36222.827274856914,35344.549083317295,34135.598012273505,35322.67839773089,36460.63490304001,37021.90290000001,34669.88
10602,31334.357200729613,31789.90713077028,32571.346926974198,32016.284594344314,32583.811874163246,33407.8314788567,33523.09562081831,33472.725712257765,33200.46403290796,33444.484488687616,33877.12136611604,34112.66565042711,35567.99408204578,35397.80470166583,34924.72078501857,36185.80055124529,36469.30939320001,36397.203120000006,35509.03
10603,30646.419196842256,31352.652854085365,31421.21960818605,31331.097280652946,30302.640855805843,32018.896568411885,31178.321397010124,30912.274739060933,31030.680116312542,30797.35433495977,30880.844022465717,31197.470521772306,33455.581465524156,33269.291085743556,32040.524045482904,33216.307147389605,33410.809200480006,33382.336800000005,32324.84
10604,29926.48756308314,30290.762172357394,30394.080946893097,30219.488624477268,30123.52362449999,31942.846712039467,31066.08621472961,31191.482315074878,30378.44076592975,30285.925389562304,29972.81178792081,30617.976364045113,31780.75738470735,31132.737559128705,31863.253505602428,32750.28118249057,34314.17306184001,32983.48158000001,32615.88
