gkz,Männer,Frauen,diff,class,text
10101,37367.85,34260.08,3107.769999999997,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.107,77 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10201,33866.83,31190.44,2676.390000000003,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.676,39 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10301,40015.89,33912.11,6103.779999999999,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.103,78 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10302,37254.92,32630.88,4624.039999999997,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.624,04 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10303,38975.88,32971.82,6004.059999999998,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.004,06 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10304,35621.67,32508.76,3112.91,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.112,91 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10305,36866.32,31680.27,5186.049999999999,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.186,05 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10306,35689.59,31652.29,4037.2999999999956,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.037,30 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10307,33867.14,32479.03,1388.1100000000006,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 1.388,11 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10308,38272.54,32476.94,5795.600000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.795,60 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10309,37013.49,34395.36,2618.1299999999974,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.618,13 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10310,35971,31296.64,4674.360000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.674,36 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10311,35885.07,33807.15,2077.9199999999983,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.077,92 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10312,37964.56,33135.1,4829.459999999999,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.829,46 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10313,36277.92,30921.45,5356.4699999999975,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.356,47 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10314,38554.45,33311.55,5242.899999999994,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.242,90 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10315,36326.65,31498.93,4827.720000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.827,72 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10316,37754.67,35572.44,2182.229999999996,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.182,23 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
10317,38379.98,36097.09,2282.8900000000067,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.282,89 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
