bl,val,sex,type,variable,year,id
Burgenland,52470,Männer,Bruttobezüge,Anzahl,2021,1
Burgenland,2908748845.8299999,Männer,Bruttobezüge,Summe,2021,1
Burgenland,55436.42,Männer,Bruttobezüge,Mittelwert,2021,1
Burgenland,46728.2,Männer,Bruttobezüge,Median,2021,1
Burgenland,29021.51,Männer,Bruttobezüge,P10,2021,1
Burgenland,34218.800000000003,Männer,Bruttobezüge,P20,2021,1
Burgenland,37996.99,Männer,Bruttobezüge,P30,2021,1
Burgenland,41936.94,Männer,Bruttobezüge,P40,2021,1
Burgenland,52756.13,Männer,Bruttobezüge,P60,2021,1
Burgenland,60668.75,Männer,Bruttobezüge,P70,2021,1
Burgenland,70846.64,Männer,Bruttobezüge,P80,2021,1
Burgenland,89277.09,Männer,Bruttobezüge,P90,2021,1
Burgenland,52470,Männer,Nettobezüge,Anzahl,2021,1
Burgenland,1994053045.3499999,Männer,Nettobezüge,Summe,2021,1
Burgenland,38003.68,Männer,Nettobezüge,Mittelwert,2021,1
Burgenland,33103.68,Männer,Nettobezüge,Median,2021,1
Burgenland,22300.62,Männer,Nettobezüge,P10,2021,1
Burgenland,25375.96,Männer,Nettobezüge,P20,2021,1
Burgenland,27750.77,Männer,Nettobezüge,P30,2021,1
Burgenland,30216.47,Männer,Nettobezüge,P40,2021,1
Burgenland,36699.64,Männer,Nettobezüge,P60,2021,1
Burgenland,41121.360000000001,Männer,Nettobezüge,P70,2021,1
Burgenland,46772.47,Männer,Nettobezüge,P80,2021,1
Burgenland,57536.98,Männer,Nettobezüge,P90,2021,1
Burgenland,52364,Männer,SV-Beiträge,Anzahl,2021,1
Burgenland,446957599.29000002,Männer,SV-Beiträge,Summe,2021,1
Burgenland,8535.59,Männer,SV-Beiträge,Mittelwert,2021,1
Burgenland,7921.66,Männer,SV-Beiträge,Median,2021,1
Burgenland,51729,Männer,einblst,Anzahl,2021,1
Burgenland,467738201.19,Männer,einblst,Summe,2021,1
